ITEM,concatenation_description,synapse_quantity_allocable,e1_quantity,STATUS,e1_quantity_hard_commit,e1_quantity_soft_commit,synapse_quantity,synapse_quantity_tasked
00.6115.411.090,X0 CRANKSET PF30 10SP 38/24 17 - 5MM - 00.6115.411.090,1,1,,1,0,1,0
00.6115.496.030,X7 S1000 CRANKSET GXP 10SP 38/ - 24 170MM - 00.6115.496.030,1,1,,1,0,1,0
00.6118.093.024,X1 CRANKSET GXP 32T 170MM - 00 - .6118.093.024,2,2,,2,0,2,0
00.6118.175.002,RIVAL 22 CRANKSET PF30 46/36 1 - 70MM - 00.6118.175.002,1,1,,1,0,1,0
00.6118.194.024,SRAM - FC S1000 30MM 170 BLK X - SYNC 32,1,1,,1,0,1,0
00.6118.280.009,SRAM - FC X01 24MM 175 BLK DM - XSYNC 32,1,1,,1,0,1,0
00.7018.027.010,X7 SHIFTER LEFT 2SP - 00.7018. - 027.010,60,60,,30,0,60,0
00.7018.033.010,X0 SHIFTER FRONT 2SP - 00.7018 - .033.010,5,5,,0,0,5,
00.7615.124.010,X9 Front Derailleur Low Direct - Mount 2x10sp S3 Bottom Pull 3,26,26,,26,0,26,
00.7615.150.010,X5 FRONT DERAILLEUR HIGH CLAMP - 31.8 DUAL PULL,3,3,,3,0,3,0
00.7615.163.000,X0 Front Derailleur Low Direct - Mount - Top Pull - S3,8,8,,0,0,8,
00.7615.166.000,"X0 FRONT DERAILLEUR HDM, DP - - 00.7615.166.000",8,8,,8,0,8,
00.7615.167.000,X0 FRONT DERAILLEUR HIGH CLAMP - 2X10SP 31.8 DUAL PULL 38/36T,1,1,,8,0,1,0
00.7618.020.010,X5 FRONT DERAILLEUR HIGH DIREC - T MOUNT - DUAL PULL,3,3,,3,0,3,0
00-001-20-47-25,RLT 9 Frameset-47-FORGE GREY/S - KYE BLUE,45,49,,8,40,45,
00-001-20-50-25,RLT 9 Frameset-50-FORGE GREY/S - KYE BLUE,75,87,,17,70,75,
00-001-20-53-25,RLT 9 Frameset-53-FORGE GREY/S - KYE BLUE,134,137,,14,125,134,
00-001-20-56-25,RLT 9 Frameset-56-FORGE GREY/S - KYE BLUE,150,153,,7,146,151,
00-001-20-59-25,RLT 9 Frameset-59-FORGE GREY/S - KYE BLUE,164,164,,18,60,164,
00-001-20-62-25,RLT 9 Frameset-62-FORGE GREY/S - KYE BLUE,90,90,,6,10,90,
00-001-21-47-80,RLT 9 Frameset-47-AZURE BLUE/B - RONZE,4,5,,1,43,4,
00-001-21-50-80,RLT 9 Frameset-50-AZURE BLUE/B - RONZE,5,7,,2,79,5,
00-001-21-53-80,RLT 9 Frameset-53-AZURE BLUE/B - RONZE,2,2,,9,106,2,
00-001-21-59-80,RLT 9 Frameset-59-AZURE BLUE/B - RONZE,8,9,,2,56,8,
00-001-21-62-80,RLT 9 Frameset-62-AZURE BLUE/B - RONZE,4,4,,1,23,4,
00-101-18-47-50,RLT 9 STEEL Frameset - 47cm - - Orange-a-Tan,2,2,,0,0,2,
00-101-18-56-50,RLT 9 STEEL Frameset - 56cm - - Orange-a-Tan,1,1,,0,0,1,
00-101-20-47-25,RLT 9 Steel Frameset-47-FORGE - GREY/BAJA BLUE,30,30,,0,0,30,
00-101-20-50-25,RLT 9 Steel Frameset-50-FORGE - GREY/BAJA BLUE,21,22,,1,2,21,
00-101-20-56-25,RLT 9 Steel Frameset-56-FORGE - GREY/BAJA BLUE,1,1,,0,2,1,
00-101-20-62-25,RLT 9 Steel Frameset-62-FORGE - GREY/BAJA BLUE,5,5,,0,0,5,
00-101-21-47-20,RLT 9 Steel Frameset - 47 - BL - ACK/BRONZE,2,2,,0,27,2,
00-101-21-47-70,RLT 9 Steel Frameset - 47 - EM - ERALD GREEN,11,11,,1,10,11,
00-101-21-50-20,RLT 9 Steel Frameset - 50 - BL - ACK/BRONZE,5,5,,2,61,5,
00-101-21-50-70,RLT 9 Steel Frameset - 50 - EM - ERALD GREEN,1,1,,0,15,1,
00-101-21-56-20,RLT 9 Steel Frameset - 56 - BL - ACK/BRONZE,1,1,,12,148,1,
00-101-21-56-70,RLT 9 Steel Frameset - 56 - EM - ERALD GREEN,2,2,,3,37,2,
00-101-21-59-70,RLT 9 Steel Frameset - 59 - EM - ERALD GREEN,21,21,,3,19,21,
00-101-21-62-20,RLT 9 Steel Frameset - 62 - BL - ACK/BRONZE,3,3,,3,16,3,0
00-101-21-62-70,RLT 9 Steel Frameset - 62 - EM - ERALD GREEN,9,9,,2,3,9,
00-801-18-53-80,RLT 9 RDO FRAMESET - 53CM - CE - MENT/BLUE,1,1,,0,0,1,
00-801-20-47-70,RLT 9 RDO FRAMESET-47-OLIVE GR - EEN/ORANGE,22,22,,0,0,22,
00-801-20-50-70,RLT 9 RDO FRAMESET-50-OLIVE GR - EEN/ORANGE,1,1,,0,3,1,
00-801-20-59-80,RLT 9 RDO FRAMESET-59-BAJA BLU - E/SAND,2,2,,4,0,2,0
00-801-20-62-70,RLT 9 RDO FRAMESET-62-OLIVE GR - EEN/ORANGE,22,22,,4,0,22,
00-801-20-62-80,RLT 9 RDO FRAMESET-62-BAJA BLU - E/SAND,16,16,,3,-2,16,
00-801-21-47-15,RLT 9 RDO FRAMESET-47-AVALANCH - E GREY/SLATE,6,6,,4,56,6,
00-801-21-47-40,RLT 9 RDO FRAMESET-47-OXBLOOD - RED,6,6,,1,45,6,
00-801-21-50-15,RLT 9 RDO FRAMESET-50-AVALANCH - E GREY/SLATE,9,9,,12,126,9,
00-801-21-50-40,RLT 9 RDO FRAMESET-50-OXBLOOD - RED,18,19,,1,103,18,
00-801-21-53-15,RLT 9 RDO FRAMESET-53-AVALANCH - E GREY/SLATE,14,20,,14,233,14,
00-801-21-53-40,RLT 9 RDO FRAMESET-53-OXBLOOD - RED,13,13,,8,219,13,0
00-801-21-56-15,RLT 9 RDO FRAMESET-56-AVALANCH - E GREY/SLATE,28,28,,10,243,28,
00-801-21-56-40,RLT 9 RDO FRAMESET-56-OXBLOOD - RED,30,30,,10,244,30,
00-801-21-59-15,RLT 9 RDO FRAMESET-59-AVALANCH - E GREY/SLATE,22,22,,10,142,22,
00-801-21-59-40,RLT 9 RDO FRAMESET-59-OXBLOOD - RED,23,26,,7,131,23,
00-801-21-62-15,RLT 9 RDO FRAMESET-62-AVALANCH - E GREY/SLATE,15,15,,1,32,15,
00-801-21-62-40,RLT 9 RDO FRAMESET-62-OXBLOOD - RED,14,26,,0,20,14,
00-814-20-59-00,RLT E9 RDO 4-STAR MY20 - 59CM - - ELECTRIC MOSS,15,16,,1,2,15,
00-814-21-50-00,RLT E9 RDO 4-STAR MY21 - 50CM - - ELECTRIC MOSS,17,20,,3,2,17,
00-814-21-53-00,RLT E9 RDO 4-STAR MY21 - 53CM - - ELECTRIC MOSS,35,38,,5,4,35,
00-814-21-56-00,RLT E9 RDO 4-STAR MY21 - 56CM - - ELECTRIC MOSS,65,68,,4,7,65,
00-814-21-59-00,RLT E9 RDO 4-STAR MY21 - 59CM - - ELECTRIC MOSS,56,56,,0,2,56,
00-901-20-53-20,MCR 9 RDO FRAMESET-53-BLACK/MA - GNETIC GREY,44,44,,0,4,44,
00-901-20-53-70,MCR 9 RDO FRAMESET-53-OLIVE GR - EEN/ORANGE,54,56,,2,3,54,
00-901-20-56-20,MCR 9 RDO FRAMESET-56-BLACK/MA - GNETIC GREY,60,60,,2,4,60,
00-901-20-56-70,MCR 9 RDO FRAMESET-56-OLIVE GR - EEN/ORANGE,42,42,,1,6,42,
00-901-20-59-20,MCR 9 RDO FRAMESET-59-BLACK/MA - GNETIC GREY,30,30,,0,2,30,
00-901-20-59-70,MCR 9 RDO FRAMESET-59-OLIVE GR - EEN/ORANGE,34,34,,2,0,34,
01-101-20-03-20,SIR 9 FRAME - SM - CEMENT/BLAC - K/COPPER,3,4,,4,39,4,1
01-512-20-02-10,Air 9 Frame Only - XS - SILVER - /BAJA BLUE,23,23,,4,45,23,
01-512-20-04-10,Air 9 Frame Only - MD - SILVER - /BAJA BLUE,220,241,,31,316,220,
01-512-20-05-10,Air 9 Frame Only - LG - SILVER - /BAJA BLUE,180,180,,20,268,180,
01-512-20-06-10,Air 9 Frame Only - XL - SILVER - /BAJA BLUE,49,39,,13,80,49,
01-701-19-03-50,AIR 9 RDO Frame Only - Small - - Orange/Yellow,2,2,,1,0,2,
01-701-19-04-80,AIR 9 RDO Frame Only - Medium - - Gloss Blue,1,1,,1,0,1,
01-701-20-02-65,AIR 9 RDO (FRAME ONLY)-XS-SAND - /ORANGE,3,3,,5,8,3,
01-701-20-03-20,AIR 9 RDO (FRAME ONLY)-SM-SATI - N CARBON/SILVER,4,0,,14,119,4,0
01-701-20-03-65,AIR 9 RDO (FRAME ONLY)-SM-SAND - /ORANGE,4,4,,6,22,4,
01-701-20-04-20,AIR 9 RDO (FRAME ONLY)-MD-SATI - N CARBON/SILVER,16,-15,,8,235,16,
01-701-20-04-65,AIR 9 RDO (FRAME ONLY)-MD-SAND - /ORANGE,13,1,,8,36,13,
01-701-20-05-20,AIR 9 RDO (FRAME ONLY)-LG-SATI - N CARBON/SILVER,11,15,,9,212,14,3
01-701-20-05-65,AIR 9 RDO (FRAME ONLY)-LG-SAND - /ORANGE,5,11,,14,39,6,1
01-701-20-06-20,AIR 9 RDO (FRAME ONLY)-XL-SATI - N CARBON/SILVER,4,0,,7,72,4,
01-701-20-06-65,AIR 9 RDO (FRAME ONLY)-XL-SAND - /ORANGE,4,4,,0,13,4,
01-702-16-02-20,AIR 9 CARBON FRAME ONLY - XS - - BLACK/SLATE - WARRANTY,2,2,,0,0,2,
01-702-16-04-20,AIR 9 Carbon Frame Only - MD - - Black/Slate - WARRANTY,8,8,,0,0,8,
01-702-16-05-20,AIR 9 CARBON FRAME ONLY - LG - - BLACK/SLATE - WARRANTY,1,1,,0,0,1,
02-604-15-04-71,RIP 9 CARBON FRAME ONLY - MEDI - UM - BLACK/NINER GREEN,10,10,,0,0,10,
02-611-16-03-20,JET 9 RDO [NO SHOCK] - SM - CA - RBON/RED,1,1,,0,0,1,
02-611-18-03-22,JET 9 RDO [NO SHOCK] - SM - LI - CORICE,1,1,,0,0,1,
02-611-21-03-25,JET 9 RDO (NO SHOCK) - SM - MA - GNETIC GREY,1,14,,16,143,1,
02-611-21-03-70,JET 9 RDO (NO SHOCK) - SM - EM - ERALD GREEN,3,-5,,15,174,3,
02-611-21-04-25,JET 9 RDO (NO SHOCK) - MD - MA - GNETIC GREY,22,43,,29,387,22,
02-611-21-04-70,JET 9 RDO (NO SHOCK) - MD - EM - ERALD GREEN,21,41,,30,290,21,
02-611-21-05-25,JET 9 RDO (NO SHOCK) - LG - MA - GNETIC GREY,5,5,,43,357,5,
02-611-21-05-70,JET 9 RDO (NO SHOCK) - LG - EM - ERALD GREEN,5,6,,44,245,5,
02-611-21-06-25,JET 9 RDO (NO SHOCK) - XL - MA - GNETIC GREY,5,5,,17,87,5,
02-611-21-06-70,JET 9 RDO (NO SHOCK) - XL - EM - ERALD GREEN,7,20,,14,56,7,
02-701-21-04-15,RKT 9 RDO - FOX FACTORY - MD - - GREY/ORANGE,500,0,,0,0,500,0
02-711-18-02-50,RKT 9 RDO [NO SHOCK] - XS - OR - ANGE,2,2,,0,0,2,
02-711-18-04-50,RKT 9 RDO [NO SHOCK] - MD - OR - ANGE,3,3,,2,0,3,
02-711-18-05-50,RKT 9 RDO [NO SHOCK] - LG - OR - ANGE,1,1,,0,0,1,
02-711-20-02-20,RKT 9 RDO [NO SHOCK]-XS-SATIN - CARBON BLACK/MAGNETIC GREY,3,3,,1,3,3,
02-711-20-02-50,RKT 9 RDO [NO SHOCK]-XS-GREY/O - RANGE,2,2,,5,2,2,
02-711-20-03-20,RKT 9 RDO [NO SHOCK]-SM-SATIN - CARBON BLACK/MAGNETIC GREY,4,-23,,5,49,4,
02-711-20-03-50,RKT 9 RDO [NO SHOCK]-SM-GREY/O - RANGE,2,3,,4,26,2,
02-711-20-04-20,RKT 9 RDO [NO SHOCK]-MD-SATIN - CARBON BLACK/MAGNETIC GREY,9,13,,12,61,9,0
02-711-20-04-50,RKT 9 RDO [NO SHOCK]-MD-GREY/O - RANGE,7,9,,5,48,7,
02-711-20-05-20,RKT 9 RDO [NO SHOCK]-LG-SATIN - CARBON BLACK/MAGNETIC GREY,12,31,,20,40,12,
02-711-20-05-50,RKT 9 RDO [NO SHOCK]-LG-GREY/O - RANGE,9,10,,5,23,9,
02-711-20-06-20,RKT 9 RDO [NO SHOCK]-XL-SATIN - CARBON BLACK/MAGNETIC GREY,5,7,,3,11,5,
02-711-20-06-50,RKT 9 RDO [NO SHOCK]-XL-GREY/O - RANGE,2,4,,0,4,2,
02-809-21-03-10,RIP 9 RDO - FOX FACTORY - 29 - - SM - SILVER/BAJA BLUE,998,0,,0,0,998,
02-811-16-03-70,RIP 9 RDO [NO SHOCK] - SM - CA - RBON/GREEN,1,1,,0,0,1,
02-817-19-03-65,RIP 9 RDO 27.5 [NO SHOCK] - SM - - SANTA FE SAND,1,1,,0,1,1,
02-817-19-04-65,RIP 9 RDO 27.5 [NO SHOCK] - MD - - SANTA FE SAND,3,3,,0,3,3,
02-817-19-05-65,RIP 9 RDO 27.5 [NO SHOCK] - LG - - SANTA FE SAND,22,22,,0,2,22,
02-817-20-03-20,RIP 9 RDO 27.5 (NO SHOCK)-SM-S - ATIN CARBON,26,26,,0,31,26,
02-817-20-04-20,RIP 9 RDO 27.5 (NO SHOCK)-MD-S - ATIN CARBON,44,44,,2,37,44,
02-817-20-05-20,RIP 9 RDO 27.5 (NO SHOCK)-LG-S - ATIN CARBON,32,32,,1,18,32,
02-819-20-05-20,RIP 9 RDO 29 (NO SHOCK)-LG-SAT - IN CARBON,1,0,,16,244,1,
02-821-21-05-10,RIP 9 RDO 29 [NO SHOCK] - LG - - SILVER/BAJA BLUE,1,1,,9,161,1,
02-821-21-06-10,RIP 9 RDO 29 [NO SHOCK] - XL - - SILVER/BAJA BLUE,1,0,,7,36,1,
02-919-21-03-20,WFO 9 RDO (NO SHOCK) - SM - FA - DE TO BLACK,36,37,,1,14,36,
02-919-21-03-40,WFO 9 RDO (NO SHOCK) - SM - HO - T TAMALE,36,37,,3,11,36,
02-919-21-04-20,WFO 9 RDO (NO SHOCK) - MD - FA - DE TO BLACK,86,85,,6,29,86,
02-919-21-04-40,WFO 9 RDO (NO SHOCK) - MD - HO - T TAMALE,66,71,,14,42,66,
02-919-21-05-20,WFO 9 RDO (NO SHOCK) - LG - FA - DE TO BLACK,63,63,,6,45,63,
02-919-21-05-40,WFO 9 RDO (NO SHOCK) - LG - HO - T TAMALE,46,48,,7,40,46,
04-338-20-03-00,WFO E9 3-STAR MY20 - SM - MAGN - ETIC GREY/ORANGE CAMO,2,2,,0,0,2,
04-535-21-05-00,RIP E9 3-STAR MY21 - LG - MAGN - ETIC GREY/OIL SLICK,1,1,,0,100,1,
05-402-19-05-20,ASSY SPEC - RLT 2-STAR MY19 - - 59/62 CM,1,1,,0,0,1,
05-503-19-70-80,ASSY SPEC - AIR RKT XC - 3-STA - R - 170mm - Blue - 29 - MY19,4,4,,0,0,4,
06-531-20-15-20,FOX PERFORMANCE ELITE 32 FLOAT - AX SC - 40MM - 44MM RAKE -MCR,22,22,,7,2,22,
06-531-21-15-20,FOX PERFORMANCE ELITE 32 FLOAT - AX SC - 40MM - 44MM RAKE -MCR,144,145,,13,19,144,
06-540-21-15-20,FOX FLOAT 38 PERFORMANCE - 29 - - 180MM - BOOST - 44MM RAKE -,78,78,,32,26,78,
06-543-21-15-20,FOX FLOAT 38 FACTORY - 29 - 18 - 0MM - BOOST - 44MM RAKE - 2021,24,10,,31,46,24,
06-611-20-15-20,FOX FLOAT 36 FACTORY - 29 - 15 - 0MM - BOOST - 44MM RAKE - 2020,65,65,,0,0,65,
06-611-21-15-20,FOX FLOAT 36 FACTORY - 29 - 15 - 0MM - BOOST - 44MM RAKE - 2022,96,96,,124,452,96,
06-621-20-15-20,FOX FLOAT 36 FACTORY - 27 - 15 - 0MM - BOOST - 37MM RAKE - 2020,66,67,,1,24,66,
06-631-20-15-20,FOX PERFORMANCE ELITE 36 FLOAT - - 29 - 150MM - BOOST - 44MM R,5,5,,0,0,5,
06-641-20-15-20,FOX PERFORMANCE ELITE 36 FLOAT - - 27 - 150MM - BOOST - 37MM R,20,20,,0,60,20,
06-661-21-15-20,FOX FLOAT 36 RHYTHM - 29 - 150 - MM - BOOST - 44MM RAKE - 2022_,173,185,,25,414,173,
06-681-20-15-20,FOX GRIP2 LIVE 36 FLOAT - 29 - - 150MM - BOOST - 44MM RAKE - 2,6,6,,0,0,6,
06-701-19-15-50,FOX FLOAT 34 SC FACTORY - 120M - M - BOOST - 51MM RAKE - 2019 -,5,5,,0,0,5,
06-701-21-15-20,FOX FLOAT 34 SC FACTORY - 120M - M - BOOST - 44MM RAKE - 2021,16,-34,,49,139,16,
06-701-21-15-50,FOX FLOAT 34 SC FACTORY - 120M - M - BOOST - 44MM RAKE - 2021 -,76,27,,15,20,76,
06-711-20-15-20,FOX FLOAT 34 FACTORY - 130MM - - BOOST - 44MM RAKE - 2020,1,1,,0,0,1,
06-751-21-15-20,FOX FLOAT 34 RHYTHM - 120MM - - BOOST - 44MM RAKE - 2022_2021,135,145,,23,150,135,
06-752-21-15-20,MARZOCCHI BOMBER Z2 - 120MM - - BOOST - 29 - 44MM RAKE - 2022_,489,489,,269,887,489,
06-761-21-15-20,FOX FLOAT 34 RHYTHM - 130MM - - BOOST - 44MM RAKE - 2022_2021,505,555,,84,675,505,
06-801-18-00-01,FOX REMOTE LOCKOUT - 2 POSITIO - N - DUAL PULL - 2018,324,324,,72,266,324,
06-801-21-15-20,FOX FLOAT 32 SC FACTORY - 100M - M - BOOST - 44MM RAKE - 2022_2,47,35,,30,192,47,
06-801-21-15-50,FOX FLOAT 32 SC FACTORY - 100M - M - BOOST - 2022_2021 - ORANGE,56,56,,42,73,56,
06-801-22-00-01,FOX REMOTE LOCKOUT - 2 POSITIO - N - DUAL PULL - 2023_2022,40,40,,0,0,40,
06-851-21-00-20,FOX FLOAT 32 RHYTHM - 100MM - - BOOST - 2022_2021,218,225,,30,409,218,
07-002-16-00-25,GRAVEL RDO THRU AXLE FORK W/ R - ACK MOUNT - POST MOUNT - GREY,3,3,,0,1,3,
07-002-20-12-20,Gravel RDO Thru Axle Fork w/ R - ack Mount - FM,63,64,,1,0,64,
07-081-17-15-22,NINER BOOST RDO MTB FORK - STE - ALTH,250,251,,0,21,251,
08-601-17-00-20,2017 FOX FACTORY FLOAT DPS EVO - L SHOCK - JET 9 RDO,4,4,,0,0,4,
08-601-20-00-20,2020 FOX FLOAT FACTORY DPS EVO - L SHOCK - JET 9 RDO,4,4,,0,0,4,
08-601-21-00-20,2022_2021 FOX FLOAT FACTORY DP - S EVOL SHOCK - JET 9 RDO,21,21,,0,1,21,
08-603-16-00-20,2016 FOX FACTORY FLOAT DPS SHO - CK - RIP 9 RDO,1,1,,0,0,1,
08-603-22-00-20,2022 FOX FLOAT X FACTORY SHOCK - - JET 9 RDO,444,571,,142,819,444,
08-604-22-00-20,2022 FOX X PERFORMANCE SHOCK - - JET 9 RDO,623,668,,84,675,623,
08-701-21-00-20,2022_2021 FOX FACTORY FLOAT DP - S EVOL SHOCK - RKT 9 RDO,70,73,,60,62,70,
08-702-20-00-20,2020 FOX FLOAT PERFORMANCE DPS - EVOL SHOCK - RKT 9 RDO,7,7,,0,0,7,
08-702-21-00-20,2022_2021 FOX FLOAT PERFORMANC - E DPS EVOL SHOCK - RKT 9 RDO,109,110,,28,169,109,
08-702-22-00-20,2022 FOX FLOAT PERFORMANCE DPS - EVOL SHOCK - RKT 9 RDO,270,270,,0,0,270,
08-703-20-00-20,2020 FOX FACTORY FLOAT DPS REM - OTE UP EVOL SHOCK - RKT 9 RDO,25,25,,0,0,25,
08-703-21-00-20,2022_2021 FOX FACTORY FLOAT DP - S REMOTE UP EVOL SHOCK - RKT 9,136,141,,7,27,136,
08-703-22-00-20,2022 FOX FACTORY FLOAT DPS REM - OTE DOWN EVOL SHOCK - RKT 9 RD,260,260,,0,0,260,
08-802-21-00-20,2021 FOX DPX2 PERFORMANCE EVOL - SHOCK - RIP 9 RDO V3,8,10,,7,434,8,0
08-803-20-00-20,"2020, FLOAT LIVE, F-S, K iRD, - Evol LV, Niner Bikes, RIP 9 RD",3,3,,0,0,3,
08-803-20-01-20,"2020, FOX FLOAT , LIVE Valve, - Rear Accelerometer Assy, 1600m",3,3,,0,0,3,
08-803-20-02-20,"2020_19, FOX FLOAT LIVE VALVE - Controller, Config. 1, Orienta",3,3,,0,0,3,
08-803-20-03-20,"2020 , FOX FLOAT LIVE VALVE 20 - 20_19 LIVE MTB Battery, iRD, O",3,3,,0,0,3,
08-804-21-00-20,2021 FOX X2 FACTORY SHOCK - RI - P 9 RDO V3,33,34,,7,20,33,
08-804-22-00-20,2022 FOX FLOAT X FACTORY SHOCK - - RIP 9 RDO V3,463,323,,62,291,463,
08-804-22-00-21,2022 FOX X2 FACTORY SHOCK - RI - P 9 RDO V3,60,60,,0,0,60,
08-805-22-00-20,2022 FOX FLOAT X PERFORMANCE S - HOCK - RIP 9 RDO V3,514,514,,22,33,514,
08-901-21-00-20,2021 FOX FLOAT X2 PERFORMANCE - SHOCK - WFO 9 RDO,199,199,,31,26,199,
08-901-22-00-20,2022 FOX FLOAT X2 PERFORMANCE - SHOCK - WFO 9 RDO,209,209,,0,58,209,
08-902-22-00-20,2022 FOX FLOAT X2 FACTORY SHOC - K - WFO 9 RDO,195,195,,8,14,195,
09-074-20-15-20,WHEELSET - STAN'S CREST S1 27. - 5 CL - 15X100/12X142 - SHIMANO,9,9,,14,15,9,
09-657-19-15-20,DT SWISS XMC 1200 WHEEL SET - - CL - 27.5,6,6,,0,0,6,
09-667-19-00-20,DT SWISS XMC 1200 FRONT WHEEL - - 6B - XD - 27.5,6,6,,0,0,6,
09-667-19-15-21,DT SWISS XMC 1200 12/148 REAR - WHEEL - 6B - XD - 27.5,6,6,,0,0,6,
09-678-21-15-20,DT SWISS X 1900 SPLINE 29 25 1 - 2/148 SRAM REAR WHEEL - CL - 2,214,208,,18,1,214,
09-679-20-00-20,DT SWISS X 1900 SPLINE 29 25 F - RONT WHEEL - CL - 29,141,141,,18,1,141,
09-679-20-15-20,DT SWISS X 1900 SPLINE 29 25 1 - 2/148 REAR WHEEL - CL - 29,31,31,,0,0,31,
09-687-20-00-20,DT SWISS M 1900 SPLINE 27 30 F - RONT WHEEL - CL - 27.5,27,27,,0,4,27,
09-687-20-15-20,DT SWISS M 1900 SPLINE 27 30 1 - 2/148 REAR WHEEL - CL - 27.5,25,25,,0,0,25,
09-688-21-15-20,DT SWISS M 1900 SPLINE 29 30 1 - 2/148 SRAM REAR WHEEL - CL - 2,330,210,,22,20,330,
09-689-20-00-20,DT SWISS M 1900 SPLINE 29 30 F - RONT WHEEL - CL - 29,240,205,,22,19,240,
09-689-20-15-20,DT SWISS M 1900 SPLINE 29 30 1 - 2/148 REAR WHEEL - CL - 29,2,2,,0,0,2,
09-723-17-00-20,NINER CARBON CX WHEEL  FRONT -  DT350 15X100,4,4,,0,0,4,
09-801-16-00-20,WHEEL - FRONT - STAN'S ARCH EX - - BOOST 110MM,1,1,,1,0,1,0
09-801-21-16-20,WHEELS - STAN'S ARCH S1 SET CL - - 110/148 NEO - SRAM XD,83,94,,68,81,83,
09-801-21-17-20,WHEELS - STAN'S ARCH S1 SET CL - - 110/148 NEO - SHIM MS,109,109,,0,0,109,
09-803-20-15-20,WHEELS - STAN'S ARCH CB7 SET - - 15x110MM FRONT/12x148MM REAR,2,2,,0,0,2,
09-803-21-16-20,WHEELS - STAN'S ARCH CB7 SET C - L - 15x110MM FRONT/12x148MM RE,9,9,,1,0,9,0
09-804-20-15-20,WHEELS - STAN'S FLOW CB7 SET 2 - 9 - 15x110MM FRONT/12x148MM RE,2,2,,0,0,2,
09-804-21-16-20,WHEELS - STAN'S FLOW CB7 SET 2 - 9 CL - 15x110MM FRONT/12x148MM,11,11,,0,0,11,
09-806-21-16-20,WHEELS-STANS FLOW CB7 SET 29MS - CL - MS 15X110 FRT/12X148MM,2,2,,0,0,2,
09-811-21-17-20,WHEELS - STAN'S FLOW S1 SET CL - - 110/148 NEO - SHIM MS,192,192,,1,0,192,
09-832-16-00-20,WHEEL - REAR - STAN'S HUGO 52 - - 142MM,1,1,,0,0,1,
09-901-16-00-20,WHEEL - FRONT - NINER ALLOY - - BOOST 110MM,2,2,,4,0,2,0
09-901-17-15-20,WHEELS - NINER ALLOY MTB SET - - 110/148 - SHIMANO,747,764,,54,556,747,
09-901-21-15-20,WHEELS - NINER ALLOY MTB SET - - 110/148 - 30MM - SHIMANO,427,798,,404,2025,427,
09-911-18-15-20,WHEELS - NINER ALLOY CX/GG SET - - 100/142 - CL,145,145,,5,213,145,
09-911-20-15-20,WHEELS - NINER ALLOY CX/GG SET - - 12MM FRONT; 100/142 - CL,755,772,,115,645,755,
10-129-21-15-00,DT SWISS XRC 1200 FRONT WHEEL - - CL - 29,29,29,,1,19,29,
10-159-21-15-00,DT SWISS XRC 1501 FRONT WHEEL - - CL - 29,9,9,,3,10,9,0
10-179-21-15-00,DT SWISS XR 1700 FRONT WHEEL - - CL - 29,34,34,,42,66,34,
10-187-21-12-00,DT SWISS G 1800 FRONT WHEEL - - CL - 700C,131,184,,252,901,131,
10-229-21-15-00,DT SWISS XMC 1200 FRONT WHEEL - - CL - 29,40,40,,10,17,40,
10-257-21-15-00,DT SWISS XMC 1501 FRONT WHEEL - - CL - 27.5,26,26,,1,0,26,
10-259-21-15-00,DT SWISS XMC 1501 FRONT WHEEL - - CL - 29,22,22,,27,45,22,0
10-279-21-15-00,DT SWISS XM 1700 FRONT WHEEL - - CL - 29,97,164,,63,331,97,
10-329-21-15-00,DT SWISS EXC 1200 FRONT WHEEL - - CL - 29,32,32,,0,1,32,
10-359-21-15-00,DT SWISS EXC 1501 FRONT WHEEL - - CL - 29,9,9,,2,0,9,
10-379-21-15-00,DT SWISS EX 1700 FRONT WHEEL - - CL - 29,78,76,,10,11,78,
10-666-21-15-20,DT SWISS E 1900 SPLINE 29 30 F - RONT WHEEL - CL - 29,78,78,,20,34,78,
11-129-21-15-00,DT SWISS XRC 1200 REAR WHEEL - - CL - 29,29,30,,1,19,29,
11-159-21-15-00,DT SWISS XRC 1501 REAR WHEEL - - CL - 29,10,5,,4,10,10,
11-179-21-15-00,DT SWISS XR 1700 REAR WHEEL - - CL - 29,11,11,,42,66,11,
11-187-21-12-00,DT SWISS G 1800 REAR WHEEL - C - L - 700C,129,129,,252,820,129,
11-189-21-15-00,DT SWISS XR 1700 REAR WHEEL - - CL - 29 SRAM XD,5,5,,0,0,5,
11-229-21-15-00,DT SWISS XMC 1200 REAR WHEEL - - CL - 29,24,24,,10,17,24,
11-257-21-15-00,DT SWISS XMC 1501 REAR WHEEL - - CL - 27.5,9,9,,1,0,9,
11-259-21-15-00,DT SWISS XMC 1501 REAR WHEEL - - CL - 29,6,6,,27,45,6,
11-279-21-15-00,DT SWISS XM 1700 REAR WHEEL - - CL - 29,93,88,,63,331,93,
11-329-21-15-00,DT SWISS EXC 1200 REAR WHEEL - - CL - 29,31,31,,0,1,31,
11-359-21-15-00,DT SWISS EXC 1501 REAR WHEEL - - CL - 29,9,9,,2,0,9,
11-379-21-15-00,DT SWISS EX 1700 REAR WHEEL - - CL - 29,116,118,,10,11,116,
11-659-21-12-00,DT SWISS XMC 1200 REAR WHEEL - - ASL12 - CL - 29,9,9,,0,0,9,0
