ITEM,concatenation_description,synapse_quantity_allocable,e1_quantity,STATUS,e1_quantity_hard_commit,e1_quantity_soft_commit,synapse_quantity,synapse_quantity_tasked
47-010-17-01-00,Ti Guard - DT - Air 9 RDO V2 - ,27,27,,0,0,27,
47-010-17-02-00,Ti Guard - CS - BSB 9 RDO - ,26,26,,0,0,26,
47-010-17-03-00,Ti Guard - FT - RIP 9 RDO V2 / - J9RDO V2,46,46,,0,0,46,
47-010-17-04-00,Ti Guard - RT - J9RDO V2 - ,23,23,,0,0,23,
47-010-17-06-00,Ti Guard - RT - RIP 9 RDO V2 - ,55,55,,0,0,55,
47-010-17-07-00,Ti Guard - FT - RKT 9 RDO - ,39,39,,0,0,39,
47-010-17-08-00,Ti Guard - RT - RKT 9 RDO - ,38,38,,0,0,38,
47-010-19-06-00,Ti Guard RIP V3 - 140mm - ,32,32,,0,0,32,
47-010-19-10-00,Ti Guard - CS - RLT 9 RDO V2 - ,37,37,,0,1,37,
47-011-17-00-20,Upper Shock Mounting Bolt - RI - P 9 RDO V2 - Black,142,142,,0,0,142,
47-011-17-01-20,"Shock Mount Bolt - JET 9 RDO V - 2, RKT 9 RDO, RIP 9 RDO V2 (lo",181,183,,1,3,182,
47-011-17-02-20,Shock Mount Bolt - RKT  - Blac - k,196,196,,0,0,196,
47-011-17-03-40,Lower Shock Mount Nut - RKT - - Red,8,8,,0,0,8,
47-011-18-00-20,SHOCK MOUNTING BOLT - STEEL - - RIP/WFO 9 ALLOY V3,198,198,,0,0,198,
47-011-18-01-20,"SHOCK MOUNT BOLT - STEEL - JET - 9 RDO V2, RKT 9 RDO, RIP 9 RD",35,40,,1,16,37,2
47-011-18-02-20,Upper Shock Mounting Bolt - St - eel - RIP 9 RDO V2 - Black,52,52,,0,0,52,
47-013-17-19-20,ST DROPPER ENTRY - SIR 9 V3 - ,98,98,,0,0,98,
47-015-17-00-00,BOLT FOR BB CABLE GUIDE - SIR - 9 V3,78,78,,0,0,78,
47-015-17-09-20,BB CABLE GUIDE - SIR 9 V3 - ,95,95,,0,0,95,
47-015-17-30-20,BB Cable Chuck - RLT 9 V2 - ,96,96,,0,0,96,
47-015-20-00-20,CABLE CLIP - SIR 9 V3 - 2019 - ,200,200,,0,0,200,
47-016-19-00-20,Flip Chip Outer 140Tx29 - RIP - V3,137,137,,0,0,137,
47-017-19-00-20,Flip Chip Inner 140Tx29 - RIP - V3,135,135,,0,2,135,0
47-018-19-00-20,NRBF-10-A-16 M3x12 Socket Head - C-Sink 90 Degrees,74,74,,0,0,74,
47-019-19-00-20,NINER 90 DEGREE AIR VALVE ADAP - TER,72,73,,0,1,72,
47-023-19-00-20,3M Seat Stay Protector - Tape - - RIP 9 RDO V3,3,3,,0,0,3,
47-080-17-00-00,CHAINSTAY PROTECTOR - RLT 9 AL - LOY V2,167,167,,0,0,167,
47-082-18-00-00,CHAINSTAY PROTECTOR-AIR 9 V4 - - SILICON,190,190,,0,0,190,
47-101-16-00-00,NINER HEADBADGE STICK ON - ,106,106,,0,8,106,
47-101-20-00-00,Niner Headbadge Stick On - FLA - T,337,337,,0,0,337,
47-103-17-00-00,JET 9RDO V2 DI2 FD MOUNT - ,96,96,,0,0,96,
47-298-19-00-20,SHIMANO ALLOY CENTERLOCK LOCKR - ING PAIR - BLACK - FOR 15mm TH,119,119,,0,0,119,
47-621-16-06-00,"LINK - UPPER, LEFT - JET 9 RDO - V2",49,49,,0,1,49,
47-621-16-08-00,"LINK - UPPER, RIGHT - JET 9 RD - O V2",100,101,,0,2,101,
47-621-16-10-00,LINK - LOWER - JET 9 RDO V2 - ,49,50,,0,1,49,
47-623-16-06-00,LINK - UPPER - RIP 9 RDO V2 - ,44,44,,0,0,44,
47-623-16-10-00,LINK - LOWER - RIP 9 RDO V2 - ,28,28,,0,0,28,
47-623-19-04-00,Pivot Kit - RIP 9 RDO V3 - ,7,8,,1,0,7,
47-624-19-06-00,"LINK - UPPER, LEFT - RIP 9 RDO - V3 140MM",55,55,,0,0,55,
47-624-19-08-00,"LINK - UPPER, RIGHT - RIP 9 RD - O V3 140MM",55,55,,0,0,55,
47-624-19-10-00,LINK - LOWER - RIP 9 RDO V3 14 - 0MM,55,55,,0,0,55,
47-721-16-06-00,"LINK - UPPER, LEFT - RKT 9 RDO - ",20,21,,1,0,20,
47-721-16-08-00,"LINK - UPPER, RIGHT - RKT 9 RD - O",32,33,,1,0,32,
47-721-16-10-00,LINK - LOWER - RKT 9 RDO - ,21,21,,0,0,21,
49-002-14-68-20,SRAM PF30 TO BSA ADAPTOR 68MM - ,420,420,,0,0,420,
49-102-19-30-20,BB ADAPTER - THREADED - PF30 T - O BSA,786,786,,0,0,786,
49-131-09-00-20,NINER EBB BIO-CENTRIC BLACK - ,4,4,,0,0,4,
49-131-12-00-20,NINER EBB BIO-CENTRIC V2 BLACK - (RP),2,3,,10,4,2,
49-132-10-00-20,CYA BOTTOM BRACKET INSERT - TH - READED,98,98,,0,0,98,
49-136-14-30-20,BioCentric 30 - Black - ,578,577,,3,74,579,
49-150-18-24-00,SHIMANO BB-RS500 - 68MM - 24MM - ,11,11,,110,0,11,0
49-231-09-00-00,"EBB SHELL, 6000 SERIES - ",130,130,,0,0,130,
50-001-10-02-20,CYA REMOVAL TOOL 2.0 - ,58,58,,53,0,58,
55-001-20-00-20,PLASTIC PLATE FOR NINER BOLT-O - N BAG,525,525,,0,0,525,
55-015-20-25-30,Patagonia / Niner Black Hole B - ag 25L *DEMO ONLY* - White,1,1,,0,0,1,
55-100-20-00-20,NINER BOLT-ON BAG - TOP TUBE - - ONE SIZE,434,436,,1,30,436,
55-101-20-01-20,NINER BOLT-ON BAG - FRONT TRIA - NGLE - RLT/MCR - XXS,243,243,,0,0,243,
55-101-20-02-20,NINER BOLT-ON BAG - FRONT TRIA - NGLE - RLT/MCR - XS,108,108,,0,0,108,
55-101-20-03-20,NINER BOLT-ON BAG - FRONT TRIA - NGLE - RLT/MCR - SM,289,284,,0,2,289,
55-101-20-04-20,NINER BOLT-ON BAG - FRONT TRIA - NGLE - RLT/MCR - MD,498,503,,1,5,499,
55-101-20-05-20,NINER BOLT-ON BAG - FRONT TRIA - NGLE - RLT/MCR - LG,189,192,,1,1,190,1
55-102-18-00-20,BACKCOUNTRY RESEARCH - NINER M - UTHERLOAD FRAME MOUNT,28,28,,1,20,28,
55-103-20-00-20,NINER WALLET - ONE SIZE - ,176,176,,0,0,176,
55-104-20-00-20,NINER REAR RACK CARGO VAULT - - RLT e9 RDO,118,118,,0,2,118,
59-024-17-03-25,"NINER/SOCKGUY WOOL SERAPE 6"" S - OCKS - GREY/BLACK-SM/MD",41,41,,0,0,41,
59-024-17-03-40,"NINER/SOCKGUY WOOL SERAPE 6"" S - OCKS - BLACK/RED-SM/MD",37,37,,0,0,37,
59-030-22-03-20,"NINER WOOL SOCKS SM/MD 6"" CUFF - - NINER LOGO/BLACK/TOPO",48,48,,0,0,48,
59-030-22-05-20,"NINER WOOL SOCKS LG/XL 6"" CUFF - - NINER LOGO/BLACK/TOPO",96,96,,0,0,96,
59-031-22-03-20,"NINER WOOL SOCKS SM/MD 6"" CUFF - - GREY AND OLIVE SERAPE",48,48,,0,0,48,
59-031-22-05-20,"NINER WOOL SOCKS LG/XL 6"" CUFF - - GREY AND OLIVE SERAPE",96,96,,0,0,96,
60-017-20-00-20,Niner Topo Neck Buff - Black w - ith olive topo,222,222,,0,2,222,
60-017-20-21-20,HAT - NINER 9 LOGO PATCH TRUCK - ER-Charcoal,150,150,,0,0,150,
60-017-20-21-70,HAT - NINER 9 LOGO PATCH TRUCK - ER-Moss / Khaki,108,108,,0,0,108,
60-018-20-00-10,Niner Logo Face mask - grey. - ,113,113,,0,0,113,
60-019-20-00-20,Niner Fisherman's Beanie - Bla - ck with debossed leather logo,100,100,,0,0,100,
60-020-18-00-20,NINER/BOCO LEGACY BEANIE - ,3,3,,0,0,3,
60-020-20-00-20,Niner Knit Beanie with Leather - Patch Logo - heather grey wit,95,100,,12,0,95,
60-101-20-03-80,T-Shirt - SEISMIC NINER - Wome - n's-Indigo-SM,8,8,,0,0,8,
60-101-20-04-80,T-Shirt - SEISMIC NINER - Wome - n's-Indigo-MD,23,23,,0,1,23,0
60-101-20-05-80,T-Shirt - SEISMIC NINER - Wome - n's-Indigo-LG,32,32,,0,0,32,
60-101-20-06-80,T-Shirt - SEISMIC NINER - Wome - n's-Indigo-XL,21,21,,0,0,21,
60-101-20-07-80,T-Shirt - SEISMIC NINER - Wome - n's-Indigo-XXL,2,2,,0,0,2,
60-111-20-03-80,T-Shirt - SEISMIC NINER - SM - - Midnight Navy,23,23,,0,0,23,
60-111-20-04-80,T-Shirt - SEISMIC NINER - MD - - Midnight Navy,29,29,,0,0,29,
